category,minimum,maximum
1.4.2020,-4,7.8
2.4.2020,0,8.5
3.4.2020,0,11.4
4.4.2020,-3,10.4
5.4.2020,-6,13.1
6.4.2020,-4,17.7
7.4.2020,1,21.1
8.4.2020,1,18.4
9.4.2020,1,22.3
10.4.2020,1,15.5
11.4.2020,-1,12.8
12.4.2020,-2,17.6
13.4.2020,0,16.4
14.4.2020,-3,8.4
15.4.2020,-2,7.7
16.4.2020,3,16.7
17.4.2020,0,14.5
18.4.2020,-4,11.6
19.4.2020,-4,11.4
20.4.2020,-4,13.4
21.4.2020,-1,14.7
22.4.2020,1,17
23.4.2020,0,18.3
24.4.2020,2,20.5
25.4.2020,6,14.3
26.4.2020,-1,12.7
27.4.2020,-1,17.6
28.4.2020,5,23.6
29.4.2020,8,17.6
30.4.2020,6,12.5
