category,minimum,maximum
1.9.2020,11,14.8
2.9.2020,11,18.6
3.9.2020,10,21.5
4.9.2020,8,22.9
5.9.2020,15,25.7
6.9.2020,10,22.1
7.9.2020,9,18.3
8.9.2020,8,19.9
9.9.2020,13,22.1
10.9.2020,8,19.7
11.9.2020,4,18.8
12.9.2020,5,23.1
13.9.2020,12,21.2
14.9.2020,11,25.4
15.9.2020,9,27.4
16.9.2020,10,27.9
17.9.2020,8,22.6
18.9.2020,6,17.4
19.9.2020,3,20.1
20.9.2020,2,20.1
21.9.2020,2,23.3
22.9.2020,6,24.7
23.9.2020,8,25.2
24.9.2020,11,24.3
25.9.2020,12,24.1
26.9.2020,15,23.6
27.9.2020,8,17.9
28.9.2020,4,16.8
29.9.2020,10,14
30.9.2020,10,13.6
