category,minimum,maximum
1.11.2021,3,13.6
2.11.2021,2,8.2
3.11.2021,5,11.3
4.11.2021,5,11.7
5.11.2021,6,11.8
6.11.2021,6,10.4
7.11.2021,3,10.6
8.11.2021,5,8.1
9.11.2021,-1,7.2
10.11.2021,-1,9.3
11.11.2021,0,8.9
12.11.2021,3,8
13.11.2021,4,6.6
14.11.2021,3,5.3
15.11.2021,4,4.6
16.11.2021,1,6.8
17.11.2021,0,5.4
18.11.2021,2,6.8
19.11.2021,6,12
20.11.2021,9,12
21.11.2021,6,10.1
22.11.2021,1,7.3
23.11.2021,0,3.7
24.11.2021,3,5.5
25.11.2021,1,5.1
26.11.2021,2,3.8
27.11.2021,0,3.1
28.11.2021,-1,3.8
29.11.2021,0,3.5
30.11.2021,0,1.3
