category,minimum,maximum
1.8.2021,15,25.6
2.8.2021,15,21.9
3.8.2021,13,23.2
4.8.2021,12,20.1
5.8.2021,10,18
6.8.2021,13,18.1
7.8.2021,13,24.5
8.8.2021,14,22.9
9.8.2021,13,25.7
10.8.2021,11,26.3
11.8.2021,11,23
12.8.2021,12,23.3
13.8.2021,11,25.7
14.8.2021,14,28.8
15.8.2021,14,28.3
16.8.2021,13,28.6
17.8.2021,13,24.4
18.8.2021,11,19.4
19.8.2021,13,22.6
20.8.2021,13,23.9
21.8.2021,12,21.5
22.8.2021,8,21.9
23.8.2021,14,19.1
24.8.2021,11,15.6
25.8.2021,7,17.1
26.8.2021,10,14.5
27.8.2021,12,17.3
28.8.2021,10,18.4
29.8.2021,7,18.1
30.8.2021,10,15.6
31.8.2021,11,17.3
