category,minimum,maximum
1.12.2022,-3,1
2.12.2022,-5,-2.6
3.12.2022,-4,0.1
4.12.2022,-1,0.6
5.12.2022,-1,0.3
6.12.2022,0,1
7.12.2022,0,1.7
8.12.2022,-1,2.1
9.12.2022,-2,2.7
10.12.2022,-2,0
11.12.2022,-5,-1
12.12.2022,-5,-0.2
13.12.2022,-5,-0.1
14.12.2022,-8,-4.1
15.12.2022,-6,-1.9
16.12.2022,-7,-2.7
17.12.2022,-8,-3.7
18.12.2022,-10,-6.6
19.12.2022,-10,-3.8
20.12.2022,-8,2.4
21.12.2022,2,2.9
22.12.2022,2,3.7
23.12.2022,3,4.6
24.12.2022,1,4.7
25.12.2022,1,4.1
26.12.2022,2,8.2
27.12.2022,3,8.2
28.12.2022,0,4.1
29.12.2022,2,6.9
30.12.2022,2,8.7
31.12.2022,2,12.9
