category,minimum,maximum
1.3.2022,-8,4.5
2.3.2022,-7,4.6
3.3.2022,-3,4.7
4.3.2022,-2,4.8
5.3.2022,-1,1.5
6.3.2022,-2,2.1
7.3.2022,-1,4.3
8.3.2022,-3,2.6
9.3.2022,-4,2.5
10.3.2022,-8,0.6
11.3.2022,-11,2.3
12.3.2022,-9,5.4
13.3.2022,-2,6.7
14.3.2022,-4,8.3
15.3.2022,-3,11.1
16.3.2022,-1,12
17.3.2022,-4,8
18.3.2022,-7,6.5
19.3.2022,-8,8.6
20.3.2022,-7,10.4
21.3.2022,-6,13.1
22.3.2022,-4,16.9
23.3.2022,-3,19
24.3.2022,-2,13.4
25.3.2022,0,15.8
26.3.2022,2,11.6
27.3.2022,-2,7.6
28.3.2022,2,18.1
29.3.2022,1,14.2
30.3.2022,-1,9.6
31.3.2022,-1,6.1
