category,minimum,maximum
1.10.2022,9,12.1
2.10.2022,9,14.4
3.10.2022,8,12.5
4.10.2022,7,13.9
5.10.2022,6,16
6.10.2022,6,18.9
7.10.2022,3,17.9
8.10.2022,9,20.2
9.10.2022,3,15.8
10.10.2022,-1,14.9
11.10.2022,3,14.8
12.10.2022,1,14.3
13.10.2022,7,14.6
14.10.2022,4,11.9
15.10.2022,8,17.5
16.10.2022,12,18.8
17.10.2022,10,20.5
18.10.2022,12,19.8
19.10.2022,3,13.6
20.10.2022,2,9.9
21.10.2022,0,10.4
22.10.2022,6,12
23.10.2022,8,15.3
24.10.2022,6,14.8
25.10.2022,9,15.5
26.10.2022,8,14.8
27.10.2022,5,17.5
28.10.2022,7,17.7
29.10.2022,11,18.2
30.10.2022,8,16.4
31.10.2022,4,10.7
