category,minimum,maximum
1.1.2022,3,10.6
2.1.2022,0,8.5
3.1.2022,5,9.7
4.1.2022,4,6.6
5.1.2022,1,6.8
6.1.2022,-3,2.2
7.1.2022,-6,0.2
8.1.2022,-6,-0.3
9.1.2022,-6,0.6
10.1.2022,-8,-0.1
11.1.2022,-9,-2.2
12.1.2022,-9,-2.3
13.1.2022,-3,4
14.1.2022,1,6.6
15.1.2022,-2,2.3
16.1.2022,-3,0.9
17.1.2022,-1,4.1
18.1.2022,-1,1.8
19.1.2022,-2,1.6
20.1.2022,-3,2
21.1.2022,-3,0
22.1.2022,-3,-0.9
23.1.2022,-11,-1
24.1.2022,-12,-1.7
25.1.2022,-3,1.9
26.1.2022,0,2.4
27.1.2022,0,2.4
28.1.2022,0,2.8
29.1.2022,-2,3.8
30.1.2022,0,5.1
31.1.2022,-2,2.1
