category,minimum,maximum
1.6.2023,8,25.5
2.6.2023,4,22.5
3.6.2023,2,16.6
4.6.2023,2,20.5
5.6.2023,4,22.9
6.6.2023,6,25.5
7.6.2023,9,26.3
8.6.2023,9,24.2
9.6.2023,10,24.8
10.6.2023,15,22.9
11.6.2023,8,21.8
12.6.2023,5,20.2
13.6.2023,7,14.3
14.6.2023,12,17.5
15.6.2023,11,23
16.6.2023,9,22.1
17.6.2023,13,21.3
18.6.2023,14,21.5
19.6.2023,12,25.2
20.6.2023,13,27.6
21.6.2023,14,28.7
22.6.2023,16,27.7
23.6.2023,13,26.1
24.6.2023,15,23.9
25.6.2023,12,25.6
26.6.2023,11,27.2
27.6.2023,13,22.3
28.6.2023,10,19.8
29.6.2023,12,25.4
30.6.2023,14,26.5
