category,minimum,maximum
1.7.2023,17,24.4
2.7.2023,15,23.2
3.7.2023,12,24.8
4.7.2023,13,27.8
5.7.2023,11,27.9
6.7.2023,13,25.4
7.7.2023,10,25.7
8.7.2023,9,27.2
9.7.2023,11,26.3
10.7.2023,10,27.7
11.7.2023,13,26
12.7.2023,11,29.4
13.7.2023,17,26.4
14.7.2023,13,25.7
15.7.2023,11,30.2
16.7.2023,18,34.1
17.7.2023,18,28.6
18.7.2023,12,24.9
19.7.2023,9,26.2
20.7.2023,12,21.8
21.7.2023,9,23.9
22.7.2023,12,24.3
23.7.2023,9,26
24.7.2023,19,28.7
25.7.2023,16,28.1
26.7.2023,13,22.7
27.7.2023,12,22.2
28.7.2023,10,20.2
29.7.2023,15,25.3
30.7.2023,17,25.9
31.7.2023,16,24.8
