category,minimum,maximum
1.5.2023,-1,16.1
2.5.2023,7,21.1
3.5.2023,2,13.9
4.5.2023,-1,15.6
5.5.2023,4,14.5
6.5.2023,4,11.7
7.5.2023,0,10.7
8.5.2023,-2,14.9
9.5.2023,-1,16.5
10.5.2023,4,16.9
11.5.2023,1,18.1
12.5.2023,5,20.3
13.5.2023,4,22.1
14.5.2023,4,23
15.5.2023,11,18.6
16.5.2023,11,17.6
17.5.2023,9,14.9
18.5.2023,6,12.5
19.5.2023,9,14.7
20.5.2023,10,23
21.5.2023,7,21.9
22.5.2023,6,21.8
23.5.2023,6,23.3
24.5.2023,12,25.5
25.5.2023,12,22.7
26.5.2023,10,21.2
27.5.2023,5,17.8
28.5.2023,2,19.2
29.5.2023,4,22.5
30.5.2023,10,20.9
31.5.2023,6,21.6
