Data and time, pollution PM10 [ug/m3]
2020-01-01,16.7,
2020-01-02,31.3,
2020-01-03,42.5,
2020-01-04,13.1,
2020-01-05,13.6,
2020-01-06,34.7,
2020-01-07,41.0,
2020-01-08,33.8,
2020-01-09,23.5,
2020-01-10,34.2,
2020-01-11,13.3,
2020-01-12,17.1,
2020-01-13,21.5,
2020-01-14,35.5,
2020-01-15,35.6,
2020-01-16,50.8,
2020-01-17,40.4,
2020-01-18,46.5,
2020-01-19,88.4,
2020-01-20,41.5,
2020-01-21,36.5,
2020-01-22,13.6,
2020-01-23,16.4,
2020-01-24,27.6,
2020-01-25,27.1,
2020-01-26,32.3,
2020-01-27,66.0,
2020-01-28,38.5,
2020-01-29,13.6,
2020-01-30,14.3,
2020-01-31,14.8,
2020-02-01,18.0,
2020-02-02,16.4,
2020-02-03,22.9,
2020-02-04,20.0,
2020-02-05,16.4,
2020-02-06,17.9,
2020-02-07,56.6,
2020-02-08,77.3,
2020-02-09,43.3,
2020-02-10,17.3,
2020-02-11,11.7,
2020-02-12,12.2,
2020-02-13,26.0,
2020-02-14,40.8,
2020-02-15,51.7,
2020-02-16,26.4,
2020-02-17,19.9,
2020-02-18,17.9,
2020-02-19,24.3,
2020-02-20,33.8,
2020-02-21,31.3,
2020-02-22,21.0,
2020-02-23,9.8,
2020-02-24,11.9,
2020-02-25,19.6,
2020-02-26,20.4,
2020-02-27,20.6,
2020-02-28,28.8,
2020-02-29,21.1,
2020-03-01,23.2,
2020-03-02,27.1,
2020-03-03,27.1,
2020-03-04,22.2,
2020-03-05,41.5,
2020-03-06,28.2,
2020-03-07,25.4,
2020-03-08,26.7,
2020-03-09,33.1,
2020-03-10,42.8,
2020-03-11,14.3,
2020-03-12,13.3,
2020-03-13,13.6,
2020-03-14,12.0,
2020-03-15,22.5,
2020-03-16,27.6,
2020-03-17,59.8,
2020-03-18,57.8,
2020-03-19,38.1,
2020-03-20,26.5,
2020-03-21,23.9,
2020-03-22,26.0,
2020-03-23,36.3,
2020-03-24,60.5,
2020-03-25,45.1,
2020-03-26,45.6,
2020-03-27,69.2,
2020-03-28,94.9,
2020-03-29,73.2,
2020-03-30,13.6,
2020-03-31,27.8,
2020-04-01,27.3,
2020-04-02,42.3,
2020-04-03,43.3,
2020-04-04,37.4,
2020-04-05,64.7,
2020-04-06,39.8,
2020-04-07,48.7,
2020-04-08,31.8,
2020-04-09,38.9,
2020-04-10,30.8,
2020-04-11,37.1,
2020-04-12,23.4,
2020-04-13,17.3,
2020-04-14,16.8,
2020-04-15,28.4,
2020-04-16,48.4,
2020-04-17,27.0,
2020-04-18,30.1,
2020-04-19,36.2,
2020-04-20,26.3,
2020-04-21,47.4,
2020-04-22,59.3,
2020-04-23,35.9,
2020-04-24,32.3,
2020-04-25,24.4,
2020-04-26,16.1,
2020-04-27,30.3,
2020-04-28,27.8,
2020-04-29,24.3,
2020-04-30,13.4,
2020-05-01,16.4,
2020-05-02,17.3,
2020-05-03,21.1,
2020-05-04,18.6,
2020-05-05,20.3,
2020-05-06,8.5,
2020-05-07,12.7,
2020-05-08,24.1,
2020-05-09,21.7,
2020-05-10,16.8,
2020-05-11,21.4,
2020-05-12,6.0,
2020-05-13,16.4,
2020-05-14,13.1,
2020-05-15,20.1,
2020-05-16,19.2,
2020-05-17,15.4,
2020-05-18,15.5,
2020-05-19,16.8,
2020-05-20,12.3,
2020-05-21,10.1,
2020-05-22,19.2,
2020-05-23,19.8,
2020-05-24,13.0,
2020-05-25,16.3,
2020-05-26,14.5,
2020-05-27,15.4,
2020-05-28,14.1,
2020-05-29,12.5,
2020-05-30,10.7,
2020-05-31,21.2,
2020-06-01,17.2,
2020-06-02,15.1,
2020-06-03,9.1,
2020-06-04,13.1,
2020-06-05,15.4,
2020-06-06,12.1,
2020-06-07,13.6,
2020-06-08,19.1,
2020-06-09,20.6,
2020-06-10,23.2,
2020-06-11,20.8,
2020-06-12,21.7,
2020-06-13,19.0,
2020-06-14,12.1,
2020-06-15,13.5,
2020-06-16,20.4,
2020-06-17,23.4,
2020-06-18,19.0,
2020-06-19,18.2,
2020-06-20,22.1,
2020-06-21,21.9,
2020-06-22,20.2,
2020-06-23,12.6,
2020-06-24,18.7,
2020-06-25,19.8,
2020-06-26,21.1,
2020-06-27,18.2,
2020-06-28,20.4,
2020-06-29,18.3,
2020-06-30,14.1,
2020-07-01,17.1,
2020-07-02,14.6,
2020-07-03,17.2,
2020-07-04,13.9,
2020-07-05,14.3,
2020-07-06,12.4,
2020-07-07,13.1,
2020-07-08,13.5,
2020-07-09,12.7,
2020-07-10,14.8,
2020-07-11,9.6,
2020-07-12,12.3,
2020-07-13,8.8,
2020-07-14,11.5,
2020-07-15,17.1,
2020-07-16,21.7,
2020-07-17,22.3,
2020-07-18,21.5,
2020-07-19,16.7,
2020-07-20,16.2,
2020-07-21,14.3,
2020-07-22,12.2,
2020-07-23,14.8,
2020-07-24,16.7,
2020-07-25,21.1,
2020-07-26,17.1,
2020-07-27,21.4,
2020-07-28,23.6,
2020-07-29,16.6,
2020-07-30,22.8,
2020-07-31,14.8,
2020-08-01,14.0,
2020-08-02,18.1,
2020-08-03,25.2,
2020-08-04,25.0,
2020-08-05,15.0,
2020-08-06,17.4,
2020-08-07,24.5,
2020-08-08,24.2,
2020-08-09,21.8,
2020-08-10,21.4,
2020-08-11,25.9,
2020-08-12,20.9,
2020-08-13,24.8,
2020-08-14,21.9,
2020-08-15,14.0,
2020-08-16,16.1,
2020-08-17,22.9,
2020-08-18,24.5,
2020-08-19,23.7,
2020-08-20,22.0,
2020-08-21,25.2,
