Data, pollution PM10 [ug/m3]
2023-01-01,12.5,
2023-01-02,19.4,
2023-01-03,14.0,
2023-01-04,19.4,
2023-01-05,4.8,
2023-01-06,13.4,
2023-01-07,30.9,
2023-01-08,19.0,
2023-01-09,23.7,
2023-01-10,33.4,
2023-01-11,20.3,
2023-01-12,23.8,
2023-01-13,18.2,
2023-01-14,18.8,
2023-01-15,13.0,
2023-01-16,17.1,
2023-01-17,21.8,
2023-01-18,17.7,
2023-01-19,24.0,
2023-01-20,16.1,
2023-01-21,14.8,
2023-01-22,19.8,
2023-01-23,29.1,
2023-01-24,29.1,
2023-01-25,22.9,
2023-01-26,32.7,
2023-01-27,37.7,
2023-01-28,31.3,
2023-01-29,18.4,
2023-01-30,20.2,
2023-01-31,12.0,
2023-02-01,9.2,
2023-02-02,10.0,
2023-02-03,11.9,
2023-02-04,11.0,
2023-02-05,17.0,
2023-02-06,35.7,
2023-02-07,33.5,
2023-02-08,31.6,
2023-02-09,48.3,
2023-02-10,37.5,
2023-02-11,25.2,
2023-02-12,15.1,
2023-02-13,18.1,
2023-02-14,19.8,
2023-02-15,32.5,
2023-02-16,56.3,
2023-02-17,37.5,
2023-02-18,6.8,
2023-02-19,8.4,
2023-02-20,9.0,
2023-02-21,4.8,
2023-02-22,10.1,
2023-02-23,18.5,
2023-02-24,28.4,
2023-02-25,16.8,
2023-02-26,10.3,
2023-02-27,13.6,
2023-02-28,31.6,
2023-03-01,49.8,
2023-03-02,38.7,
2023-03-03,35.9,
2023-03-04,18.1,
2023-03-05,17.7,
2023-03-06,25.5,
2023-03-07,28.2,
2023-03-08,15.2,
2023-03-09,13.0,
2023-03-10,28.7,
2023-03-11,12.5,
2023-03-12,13.4,
2023-03-13,17.9,
2023-03-14,15.5,
2023-03-15,16.7,
2023-03-16,46.6,
2023-03-17,53.6,
2023-03-18,15.4,
2023-03-19,32.9,
2023-03-20,51.1,
2023-03-21,41.2,
2023-03-22,39.2,
2023-03-23,-,
2023-03-24,-,
2023-03-25,-,
2023-03-26,-,
2023-03-27,-,
2023-03-28,-,
2023-03-29,-,
2023-03-30,-,
2023-03-31,-,
2023-04-01,16.3,
2023-04-02,11.9,
2023-04-03,9.6,
2023-04-04,13.6,
2023-04-05,17.1,
2023-04-06,19.9,
2023-04-07,19.2,
2023-04-08,22.5,
2023-04-09,25.0,
2023-04-10,26.9,
2023-04-11,26.0,
2023-04-12,39.3,
2023-04-13,37.4,
2023-04-14,23.5,
2023-04-15,12.8,
2023-04-16,15.7,
2023-04-17,18.9,
2023-04-18,32.9,
2023-04-19,23.2,
2023-04-20,38.6,
2023-04-21,42.9,
2023-04-22,36.5,
2023-04-23,27.5,
2023-04-24,34.1,
2023-04-25,22.3,
2023-04-26,12.3,
2023-04-27,21.4,
2023-04-28,30.4,
2023-04-29,27.1,
2023-04-30,20.4,
2023-05-01,16.5,
2023-05-02,24.7,
2023-05-03,14.8,
2023-05-04,23.4,
2023-05-05,23.8,
2023-05-06,18.4,
2023-05-07,10.3,
2023-05-08,29.7,
2023-05-09,27.7,
2023-05-10,23.0,
2023-05-11,23.5,
2023-05-12,35.5,
2023-05-13,36.4,
2023-05-14,25.1,
2023-05-15,26.7,
2023-05-16,18.6,
2023-05-17,14.5,
2023-05-18,9.8,
2023-05-19,16.0,
2023-05-20,23.3,
2023-05-21,20.6,
2023-05-22,25.7,
2023-05-23,30.5,
2023-05-24,29.8,
2023-05-25,44.7,
2023-05-26,30.1,
2023-05-27,20.2,
2023-05-28,21.7,
2023-05-29,28.2,
2023-05-30,23.9,
2023-05-31,23.1,
2023-06-01,32.9,
2023-06-02,25.1,
2023-06-03,10.0,
2023-06-04,14.8,
